MoveEvent(x=360, y=344, time=1683894822.231943)
MoveEvent(x=356, y=340, time=1683894822.239944)
MoveEvent(x=352, y=337, time=1683894822.248079)
MoveEvent(x=350, y=332, time=1683894822.2560174)
MoveEvent(x=348, y=321, time=1683894822.2632582)
MoveEvent(x=346, y=311, time=1683894822.2712727)
MoveEvent(x=343, y=294, time=1683894822.2796423)
MoveEvent(x=341, y=270, time=1683894822.2873275)
MoveEvent(x=338, y=250, time=1683894822.2959433)
MoveEvent(x=330, y=228, time=1683894822.3031745)
MoveEvent(x=327, y=212, time=1683894822.3119428)
MoveEvent(x=326, y=201, time=1683894822.3191943)
MoveEvent(x=326, y=193, time=1683894822.3273711)
MoveEvent(x=326, y=184, time=1683894822.3354237)
MoveEvent(x=326, y=174, time=1683894822.3435235)
MoveEvent(x=326, y=168, time=1683894822.3515491)
MoveEvent(x=326, y=157, time=1683894822.3599503)
MoveEvent(x=326, y=149, time=1683894822.3673077)
MoveEvent(x=327, y=143, time=1683894822.3761473)
MoveEvent(x=327, y=139, time=1683894822.3833582)
MoveEvent(x=329, y=137, time=1683894822.3913035)
MoveEvent(x=330, y=136, time=1683894822.399952)
MoveEvent(x=331, y=135, time=1683894822.4156237)
MoveEvent(x=333, y=136, time=1683894822.4481492)
MoveEvent(x=335, y=145, time=1683894822.455902)
MoveEvent(x=338, y=156, time=1683894822.463291)
MoveEvent(x=339, y=172, time=1683894822.471321)
MoveEvent(x=342, y=195, time=1683894822.4793901)
MoveEvent(x=347, y=227, time=1683894822.4873939)
MoveEvent(x=349, y=257, time=1683894822.4959033)
MoveEvent(x=356, y=289, time=1683894822.5035188)
MoveEvent(x=359, y=318, time=1683894822.511724)
MoveEvent(x=363, y=339, time=1683894822.519477)
MoveEvent(x=364, y=351, time=1683894822.5282197)
MoveEvent(x=368, y=362, time=1683894822.5355322)
MoveEvent(x=371, y=371, time=1683894822.5432618)
MoveEvent(x=373, y=377, time=1683894822.5518796)
MoveEvent(x=374, y=382, time=1683894822.5599642)
MoveEvent(x=378, y=385, time=1683894822.567454)
MoveEvent(x=379, y=387, time=1683894822.5760906)
MoveEvent(x=380, y=389, time=1683894822.591508)
MoveEvent(x=381, y=389, time=1683894822.615902)
MoveEvent(x=383, y=389, time=1683894822.623334)
MoveEvent(x=386, y=387, time=1683894822.632183)
MoveEvent(x=393, y=375, time=1683894822.6399019)
MoveEvent(x=404, y=358, time=1683894822.648146)
MoveEvent(x=418, y=339, time=1683894822.6551774)
MoveEvent(x=438, y=311, time=1683894822.6634126)
MoveEvent(x=451, y=288, time=1683894822.6721768)
MoveEvent(x=468, y=261, time=1683894822.6799796)
MoveEvent(x=483, y=241, time=1683894822.6873565)
MoveEvent(x=496, y=222, time=1683894822.6960897)
MoveEvent(x=507, y=210, time=1683894822.7034402)
MoveEvent(x=524, y=199, time=1683894822.712182)
MoveEvent(x=539, y=191, time=1683894822.719195)
MoveEvent(x=550, y=188, time=1683894822.727567)
MoveEvent(x=560, y=186, time=1683894822.7353373)
MoveEvent(x=568, y=185, time=1683894822.7433572)
MoveEvent(x=575, y=185, time=1683894822.7513733)
MoveEvent(x=579, y=185, time=1683894822.7599509)
MoveEvent(x=587, y=185, time=1683894822.7672567)
MoveEvent(x=593, y=190, time=1683894822.7760851)
MoveEvent(x=598, y=196, time=1683894822.78329)
MoveEvent(x=602, y=206, time=1683894822.7921762)
MoveEvent(x=605, y=218, time=1683894822.7992911)
MoveEvent(x=609, y=231, time=1683894822.8080928)
MoveEvent(x=611, y=251, time=1683894822.815177)
MoveEvent(x=615, y=272, time=1683894822.823169)
MoveEvent(x=617, y=290, time=1683894822.8321424)
MoveEvent(x=621, y=306, time=1683894822.839402)
MoveEvent(x=624, y=320, time=1683894822.8481035)
MoveEvent(x=628, y=330, time=1683894822.8555918)
MoveEvent(x=630, y=340, time=1683894822.8637433)
MoveEvent(x=633, y=348, time=1683894822.871707)
MoveEvent(x=635, y=352, time=1683894822.879894)
MoveEvent(x=637, y=354, time=1683894822.8878355)
MoveEvent(x=638, y=355, time=1683894822.8953404)
MoveEvent(x=638, y=355, time=1683894822.903292)
MoveEvent(x=639, y=355, time=1683894822.9121547)
MoveEvent(x=640, y=355, time=1683894822.9191554)
MoveEvent(x=640, y=355, time=1683894822.928149)
MoveEvent(x=642, y=355, time=1683894822.9360619)
MoveEvent(x=647, y=352, time=1683894822.9439478)
MoveEvent(x=656, y=340, time=1683894822.95121)
MoveEvent(x=670, y=325, time=1683894822.959512)
MoveEvent(x=685, y=306, time=1683894822.9674497)
MoveEvent(x=705, y=283, time=1683894822.9754462)
