MoveEvent(x=1919, y=555, time=1681727650.1890035)
MoveEvent(x=1919, y=555, time=1681727650.1961164)
MoveEvent(x=1919, y=555, time=1681727650.2028677)
MoveEvent(x=1917, y=556, time=1681727650.2097564)
MoveEvent(x=1913, y=559, time=1681727650.2168918)
MoveEvent(x=1904, y=561, time=1681727650.2235835)
MoveEvent(x=1885, y=568, time=1681727650.2304068)
MoveEvent(x=1843, y=586, time=1681727650.2371974)
MoveEvent(x=1790, y=605, time=1681727650.2439127)
MoveEvent(x=1740, y=623, time=1681727650.2510648)
MoveEvent(x=1697, y=640, time=1681727650.2576067)
MoveEvent(x=1644, y=659, time=1681727650.264412)
MoveEvent(x=1582, y=679, time=1681727650.271875)
MoveEvent(x=1526, y=695, time=1681727650.2788074)
MoveEvent(x=1444, y=722, time=1681727650.285821)
MoveEvent(x=1371, y=743, time=1681727650.292444)
MoveEvent(x=1298, y=763, time=1681727650.299599)
MoveEvent(x=1218, y=781, time=1681727650.3066971)
MoveEvent(x=1154, y=792, time=1681727650.3127167)
MoveEvent(x=1096, y=797, time=1681727650.3198493)
MoveEvent(x=1041, y=802, time=1681727650.3268528)
MoveEvent(x=996, y=802, time=1681727650.3338444)
MoveEvent(x=951, y=802, time=1681727650.3404646)
MoveEvent(x=909, y=799, time=1681727650.348146)
MoveEvent(x=847, y=793, time=1681727650.3542469)
MoveEvent(x=799, y=786, time=1681727650.3617716)
MoveEvent(x=759, y=776, time=1681727650.3680274)
MoveEvent(x=722, y=765, time=1681727650.3750331)
MoveEvent(x=681, y=753, time=1681727650.382743)
MoveEvent(x=640, y=738, time=1681727650.3882852)
MoveEvent(x=614, y=728, time=1681727650.396244)
MoveEvent(x=597, y=720, time=1681727650.40319)
MoveEvent(x=580, y=710, time=1681727650.4092085)
MoveEvent(x=564, y=698, time=1681727650.416225)
MoveEvent(x=550, y=686, time=1681727650.422736)
MoveEvent(x=541, y=673, time=1681727650.4307823)
MoveEvent(x=533, y=661, time=1681727650.4375913)
MoveEvent(x=524, y=644, time=1681727650.444406)
MoveEvent(x=519, y=628, time=1681727650.4516327)
MoveEvent(x=518, y=609, time=1681727650.4576297)
MoveEvent(x=518, y=594, time=1681727650.4648738)
MoveEvent(x=518, y=574, time=1681727650.4720712)
MoveEvent(x=525, y=553, time=1681727650.478108)
MoveEvent(x=532, y=536, time=1681727650.485013)
MoveEvent(x=542, y=519, time=1681727650.4921637)
MoveEvent(x=554, y=503, time=1681727650.4994144)
MoveEvent(x=570, y=485, time=1681727650.5057495)
MoveEvent(x=586, y=466, time=1681727650.5131614)
MoveEvent(x=608, y=449, time=1681727650.5200677)
MoveEvent(x=634, y=427, time=1681727650.526245)
MoveEvent(x=663, y=407, time=1681727650.5338025)
MoveEvent(x=688, y=388, time=1681727650.5398037)
MoveEvent(x=721, y=367, time=1681727650.547352)
MoveEvent(x=746, y=348, time=1681727650.5547547)
MoveEvent(x=766, y=337, time=1681727650.5607326)
MoveEvent(x=782, y=329, time=1681727650.5682)
MoveEvent(x=795, y=323, time=1681727650.5744941)
MoveEvent(x=806, y=318, time=1681727650.5819736)
MoveEvent(x=816, y=315, time=1681727650.5885656)
MoveEvent(x=825, y=312, time=1681727650.5951517)
MoveEvent(x=829, y=312, time=1681727650.6019666)
MoveEvent(x=834, y=312, time=1681727650.6088953)
MoveEvent(x=838, y=312, time=1681727650.6163926)
MoveEvent(x=840, y=312, time=1681727650.622407)
MoveEvent(x=844, y=313, time=1681727650.630138)
MoveEvent(x=846, y=314, time=1681727650.6364279)
MoveEvent(x=849, y=315, time=1681727650.6438031)
MoveEvent(x=851, y=318, time=1681727650.650175)
MoveEvent(x=853, y=320, time=1681727650.657082)
MoveEvent(x=857, y=323, time=1681727650.664194)
MoveEvent(x=860, y=327, time=1681727650.671745)
MoveEvent(x=864, y=330, time=1681727650.6779535)
MoveEvent(x=868, y=337, time=1681727650.685396)
MoveEvent(x=870, y=342, time=1681727650.6914923)
MoveEvent(x=875, y=351, time=1681727650.6985512)
MoveEvent(x=878, y=360, time=1681727650.7053828)
MoveEvent(x=881, y=368, time=1681727650.7129152)
MoveEvent(x=882, y=379, time=1681727650.7189426)
MoveEvent(x=885, y=389, time=1681727650.7264354)
MoveEvent(x=885, y=399, time=1681727650.733378)
MoveEvent(x=885, y=411, time=1681727650.739497)
MoveEvent(x=885, y=421, time=1681727650.7471366)
MoveEvent(x=885, y=431, time=1681727650.7533996)
MoveEvent(x=885, y=438, time=1681727650.7605307)
MoveEvent(x=885, y=444, time=1681727650.7677584)
MoveEvent(x=884, y=451, time=1681727650.7740571)
MoveEvent(x=884, y=455, time=1681727650.7809448)
MoveEvent(x=884, y=460, time=1681727650.7879567)
MoveEvent(x=884, y=463, time=1681727650.794699)
MoveEvent(x=884, y=465, time=1681727650.802164)
MoveEvent(x=884, y=467, time=1681727650.8080232)
MoveEvent(x=884, y=468, time=1681727650.8152986)
MoveEvent(x=884, y=468, time=1681727650.8218806)
MoveEvent(x=884, y=469, time=1681727650.8297)
MoveEvent(x=886, y=469, time=1681727650.8364742)
MoveEvent(x=888, y=469, time=1681727650.8424737)
MoveEvent(x=893, y=469, time=1681727650.8494737)
MoveEvent(x=901, y=466, time=1681727650.8564758)
MoveEvent(x=912, y=460, time=1681727650.8634748)
MoveEvent(x=929, y=453, time=1681727650.8703954)
MoveEvent(x=943, y=447, time=1681727650.8778276)
MoveEvent(x=962, y=439, time=1681727650.8847182)
MoveEvent(x=979, y=430, time=1681727650.8907197)
MoveEvent(x=1000, y=421, time=1681727650.897871)
MoveEvent(x=1034, y=408, time=1681727650.9057443)
MoveEvent(x=1049, y=393, time=1681727651.1713555)
MoveEvent(x=1076, y=365, time=1681727651.1780577)
MoveEvent(x=1116, y=326, time=1681727651.1855237)
MoveEvent(x=1163, y=279, time=1681727651.191746)
MoveEvent(x=1206, y=238, time=1681727651.1986494)
MoveEvent(x=1245, y=202, time=1681727651.2065432)
MoveEvent(x=1284, y=166, time=1681727651.212954)
MoveEvent(x=1323, y=127, time=1681727651.2198968)
MoveEvent(x=1365, y=89, time=1681727651.22623)
MoveEvent(x=1412, y=51, time=1681727651.233231)
MoveEvent(x=1450, y=18, time=1681727651.2402327)
MoveEvent(x=1479, y=-5, time=1681727651.2467139)
